,company,job,title,question,answer
0,(주)매스티지,IT/웹/통신,"최초 연락 후 인터뷰 일정 조율, 경영진 면접 진행""","언제부터 출근 가능한지, 급여는 정해져 있음, 회사에 대해 궁금한점 있는지.",단순한 인성면접으로 끝났습니다.
1,(주)프레임아웃,IT/웹/통신,"채용플랫폼 지원 -> 인사팀 연락 -> 면접
계약직 채용이면서 정규직 채용이라고 명시해두는 허위 채용절차""","1. 경력사항 관련 질의
2. 성격 장단점
3. 이직 사유","애초에 계약직 채용이면서 채용공고에 왜 정규직도 명시를 해뒀는 지 모르겠습니다.
면접 와서 협의해보고 계약직 가능하면 얻어걸리라는 심보인 건지..
서로를 위해 좋을 것이 없는데 매우 불쾌한 면접 경험이었습니다."
2,아지앙스코리아(주),IT/웹/통신,"이사분들이 2명이 와서 같이 면접 봄 편안한 분위기""",영어를 잘 할 수 있는지 문서 작성에 필요한 부분의 언어 능력을 많이 물어봤던거 같아요.,편안한 느낌
3,디나인컴즈(주),IT/웹/통신,"보편적으로 생각하는 딱딱한 분위기의 면접보다 분위기 편안한 인터뷰 형식이어서 부담가지지 않고 임할 수 있음""","대학생활 중 가장 공들여서 작업한 작품에 대한 소개, 회사생활 중 불이익을 당한다면 어떤 행동을 취할지, 회사에 입사하게 된다면 포부 한마디",편안한 분위기를 조성해준 덕분에 부담가지지 않고 인터뷰에 임할 수 있었음
4,하이브랩(주),IT/웹/통신,"1차 실무진 면접 2차 임원면접으로 이루어졌었고 1차는 다대일, 2차는 일대일 면접이었습니다""","포트폴리오를 보면서 질문해주셨고 좋아하는 게임 및 포트폴리오에서 중요하게 생각한점, 대외활동 경험 등 질문",생각하는 대로 대답했고 막히는 부분은 별로 없었습니다 난이도는 평이했던 것 같습니다
5,(주)다름,IT/웹/통신,"편안한 분위기에 잘 여쭤봐주셔서 가벼운 분위기로 봤습니다. 그 후 연락이 와서 채용되었고 현재 재직중입니다.""","왜 우리회사에 지원했는가?
포트폴리오 어떻게 만들었냐
왜 쉬었나",부드러운인상에 차분히 답변과 질문을 했던것같습니다.
6,(주)제이레퍼토리,IT/웹/통신,"대표, 본부장 총 2번에 거쳐서 진행.

압박면접보다는 편안한 분위기로 주고받으며 긴장하지 않고 말할 수 있었음.""",,
7,,,,,
8,,,,,
9,,,,,
