,subject,title,content
0,포트폴리오,신입 프론트엔드 지원 시 이력서와 포트폴리오 중 어떤 걸 제출해야 할까요?,"안녕하세요. 신입 프론트엔드 취업을 준비하고 있는 취준생입니다. 취업을 준비하면서 이력서와 포트폴리오가 필요하다고 하여 열심히 작성하고 만들었습니다. 특히나, 포트폴리오는 디자인에 시간투자를 많이 하였습니다. 그런데 지원서를 작성하려고 보니, 여태 지원했던 기업에서는 이력서나 포트폴리오 중 하나만 제출하는 경우가 대부분이더라구요.. 여기서 가장 큰 의문은 ""내가 만든 이력서가 포트폴리오로 제출하면 되는건가?""라는 생각이 들었습니다. 이력서는 조금 더 문서화에 맞게 만들어졌고, 포트폴리오는 최대한 시각디자이너 포트폴리오 비슷하게 만들었습니다. 내용상으로는 큰 차이는 없도록 수정하고 있습니다. 여기서 포트폴리오를 제출하라고 한다면 어떤 걸 제출하는 게 좋을까요? 혹시나 해서 이력서와 포트폴리오 pdf 공유 주소 남깁니다! - 이력서 https://acrobat.adobe.com/id/urn:aaid:sc:AP:73154909-5f7c-4a9e-9437-0f343015ac4b - 포트폴리오 https://acrobat.adobe.com/id/urn:aaid:sc:AP:800596e5-6f8b-485d-93f2-d39a75f68875"
1,포트폴리오,안녕하세요 프론트엔드 포트폴리오 조언 부탁드려요..,"안녕하세요 저는 29살 프론트엔드 지망 취준생입니다. 어렸을때부터 미술이랑 컴퓨터에 관심이 많아서 이쪽으로 취직하고 싶었는데요.. 집안 사정이 좀 안좋아서, 고등학교 졸업 후 20살되서 바로 군대 갔다가 그대로 부사관까지 7년 하고 작년 여름에 전역했어요. 전역 후 지금은 SBS학원에서 웹개발을 배우고, 지금은 포폴 만들고있구요... 막상 배워보니깐 너무 재밌더라구요 막 제가 생각하는것 다 만들수있을것 같고... 물론 현실은 녹록치 않겠지만요. 지금 걱정+질문이 두가지가 있는데요... 첫째는 요새 취업시장이 엄청 한파라고 하더라구요 ㅜㅜ 제가 전역하겠다 마음먹은게 코로나때였는데, 그때는 엄청 취업 호황이다가 요새는 경기도 안좋아지고 취업도 잘 안되는데 심지어 고졸이라 ㅜ..... 물론 제가 엄청 고수익 취업을 하겠다 그런게 아니라 물론 당연히 저는 이쪽 경력이 1도 없으니 젤 낮은데부터 시작해야죠.. 그건 알고있는데, 그런곳 마저 이렇게 취업이 힘들다고 하니 ㅠㅠ..... 아무리 고졸인 저라도 열심히 하면 일단 경력 채울 수 있게 취업이라도 할수 있겠죠??!!.......ㅜㅠㅠ 그리고 둘째는 지금 포트폴리오를 만들고 있는데요, 포트폴리오를 한 두달정도 4개정도 만들었거든요. 그리고 현재 학원 포폴반도 2달정도 남은 상태여서요!.. 아래는 이제껏 만든 포폴이예요 1. 정보위주의 깔끔한 페이지 2. css로 다양한 애니메이션이 들어간 페이지 3. 2번처럼 해서 포폴 메인페이지 만들기 4. PHP로 공개API 받아와서 다루고, 간단하게 DB로 CRUD 이용한 페이지 학원에서 JSP 배우기로 해서(아직 안배움) 그 김에 PHP 책 사서 독학으로 만든거예요 포폴은 개인정보가 있어서 선뜻 링크를 올리기는 쪼끔 그래서요... 원하시면 링크 드릴게요!! 그래서 5번째로는 코틀린, 안드로이드 스튜디오 독학으로 앱을 좀 만들어서 그것도 포폴로 해볼까 하는데 어떤가 싶어서요... 혹시 너무 중구난방인가? 싶으실수 있는데... 이젠 html, css, js로는 좀 더 획기적이고 다양한걸 보여드리기 쪼금 힘들지 않을까 해서 앱을 만들려고 하거든요 일단 조금 보니깐 웹앱 만드는거랑 비슷해보이더라구요.. 그리고 재밌어보이기도 하고... 제가 앱을 만들어서 배포해보고싶기도 하고요!... 혹시 더 좋은 포폴 아이디어가 있다면 부탁드려도 될까요??.. 아맞다 지금 자격증은 정처기능사/산업기사(필기합격하고 4월말에 실기시험), 웹디기능사 이렇게 있어요!"
2,포트폴리오,국비 풀스택 수료 후 온라인 부트캠프,"안녕하세요, 저는 비전공자이며 현재 국비 풀스택 과정 수료 후 취업을 준비하고 있습니다. 국비 학원을 다니며 풀스택 과정을 수료했는데, 팀 프로젝트는 두 개 진행했지만 학원 측의 사정으로 커리큘럼이 바뀌어 버려서 포트폴리오에 넣은 프로젝트는 하나입니다. 무엇보다 포트폴리오도 팀 프로젝트 기반이었기에 팀 포트폴리오를 작성했고, 개인 포트폴리오가 필요하지 않을까 고민이 돼서 제가 수료한 학원 측에 여쭈었으나 학원 측에서는 포트폴리오 수정 없이 일단 이력서 제출해 보라고 하셔서 팀 포트폴리오 그대로 이력서와 함께 제출했습니다. 그 이후 한 기업에서 면접을 봤는데 면접 본 대표님께서 개인 포트폴리오가 없는 게 아쉽다 하시더라고요. 그 말씀을 듣고 생각이 많아져 개인적으로 코딩 공부도 더 해 보고 싶고, 프로젝트 경험도 더 쌓고 싶어 온라인 부트캠프를 검색해 보았습니다. 제가 검색해 본 온라인 부트캠프는 팀 프로젝트를 세 개 정도 진행하고, 개인 포트폴리오와 기술 블로그 관리까지 도와준다고 하더라고요. 혼자 공부하며 개인 프로젝트 진행해 보는 것도 생각해 봤지만 혼자 하는 것보다 기간이 정해져 있는 과제를 진행하고, 프로젝트 경험과 모르는 것이 생겼을 때 질문할 수 있는 선생님이 계시다는 게 메리트인 것 같아 온라인 부트캠프 수강을 고민 중입니다. 현업에 계신 개발자 선배님들께서는 국비 학원 수료 후 4개월의 온라인 부트캠프를 수강하는 것을 어떻게 생각하시는지 궁금합니다. ㅠㅠ 조언 부탁드려요......."
3,포트폴리오,데이터분석가로 직무 변경시 포트폴리오,"안녕하세요, 저는 약 5년간 이커머스 마케터로 근무하고 있고, 최근 이커머스 업계 데이터분석가로 직무 전환 시도중에 있습니다. 포트폴리오 관련하여 질문이 있습니다. 1. 1-1) 기존에는 마케터 직무였기 때문에 엑셀로했던 데이터 분석이나 레포트 정도는 부각을 할 수 있을 것 같은데 프로그래밍적인 부분을 녹일수가 없을 것 같습니다. 대신 개인 프로젝트에서 분석배경-분석과정-결과와 같은 형태로 프로그래밍을 활용한 데이터 분석역량을 좀더 현업에 가깝게 보여줄수 있을 것 같은데, 이런 경우 기존 업무해서 했던 포트폴리오와 개인 프로젝트를 별도로 나누어 보여드리는게 효율적일지, 아니면 한 포트폴리오 안에서 기존 업무 성과 > 개인 프로젝트 순으로 나열해서 보여드리는 것이 효율적일지 궁금합니다. 1-2) 좀더 근본적으로 포트폴리오와 프로젝트 차이가 무엇일까요? 앞서 말씀드린 것 처럼 현재 직무에서 이뤄낸 성과를 포트폴리오에 넣고, 이직처에 추가 어필할 수 있는 데이터분석 프로젝트를 프로젝트로 구분하는게 맞는건지 잘 모르겠습니다. ————————————————————————— 2. 광고에이전시 내 이커머스 팀에서 4년간 일하면서 브랜드 계정 케이스별로(신규 브랜드/메인 브랜드) 매출 성장을 큰폭으로 이뤄냈던 사례들이 여러개 있습니다. 사실 브랜드 계정도 너무 많고 매출을 점프업 시키는 방법론이 비슷한면들이 없잖아 있습니다. (상세페이지 최적화, 광고최적화, 이커머스 이벤트기간 활용 등) 이런 경우 가장 성장폭이 높았던 브랜드 3개정도만 녹이는게 괜찮을까요? ————————————————————————— 3. 노션으로 이력서+경력기술서 작성중에 있습니다. 그런데 오히려 노션으로 하게되면 오히려 포트폴리오나 프로젝트를 클릭해야되는 공수가 들기 때문에 불편하다는 글을 봤습니다. 노션 이력서+경력서에 포트폴리오/프로젝트 pdf를 따로 유첨해드리면 괜찮을까요?"
4,포트폴리오,이직 준비를 위해 포트폴리오로 작성할 토이 프로젝트를 개발했습니다,"5년차 스프링 백엔드 개발자입니다 재직하고 있는 팀 성향과 맞지 않아 이직을 위해 토이 프로젝트를 준비했습니다 사용된 기술 스택은 spring, kotlin, spring data mongoDB 및 querydsl로 개발하였고, 프론트 부분은 vue.js로, 배포는 docker, github actions와 elastic beanstalk로 ci/cd를 구축했습니다 프로젝트의 내용은 riot games의 TFT 게임을 플레이할 때 전략을 지원하는 웹 애플리케이션 개발입니다 원래는 현재 개발된 것보다 좀 더 고도화된 형태로 포트폴리오에 추가하려 했는데, 지인분과 상담했을 때는 그만하면 됐다 하셔서 여기서 멈추고 public url과 github 주소, 그리고 포트폴리오 제출까지만 진행하려 합니다 그런데... 포트폴리오에 어떤 것을 작성해야 좋을지 잘 모르겠습니다 개발한 애플리케이션의 화면 동작 등을 간단하게 소개하면 될까요? 자신이 신경써서 코딩한 코드 일부를 보여주면 될까요? 전체적인 흐름도나 다이어그램 등을 보이면 될까요? 무엇보다 과연 경력자가 회사에서 진행한 자신의 업무로 어필을 하는 것이 아니라, 이런 토이 프로젝트로 어필을 하는 것이 얼마나 효과가 있을지도 의문입니다 하지만 재직중인 현 회사는 주로 spring, java, jpa, mysql 외에 그다지 기술을 깊이있게 쓸 줄 아는 회사가 아닙니다 최대한 이력서에 작성하겠지만, 이곳에서 개발한 경력이 그다지 어필이 되진 않을 것 같아요... 최근 같은 회사 다니다 먼저 이직하신 분이 자신이 있는 곳으로 이력서 제출해보라 권장하십니다 무난하게 합격하실 거라 하셨는데, 그분과 일하는 것이 싫지는 않지만 기왕 이직하는 거 저는 좀 더 욕심을 내고 싶어서, 제가 가진 역량을 최대한 어필할 수 있었으면 합니다 5년차의 실력이라기엔 부끄럽지만, 이력서에 담긴 것만이 제 전부는 아니라서 너무 아쉽습니다 포트폴리오의 작성법, 그리고 이런 포트폴리오가 얼마나, 또 어떻게 어필이 될 수 있을지 이 TFT 게임을 모르는 사람에게는 어떻게 어필할지(TFT 게임이 무엇인지부터 설명해야 하나...) 아직 빌드업중인 프로젝트라 군데군데 부족한 부분이 많은데, 좀 더 완성도를 높여야 할지 조언 부탁드립니다 아래는 지금까지 개발 진행한 github과 배포된 웹 애플리케이션, 작성중인 포트폴리오 url 공유드리겠습니다 [github] https://github.com/jae2274 [애플리케이션 url] http://tftgamingweb-env-3.eba-bghxnbum.ap-northeast-2.elasticbeanstalk.com/view/guide [포트폴리오] https://docs.google.com/presentation/d/13Yri8YqQjAZfKIe-_dH61ezjqc2AIgwmfo4CLReC_WI/edit?usp=sharing"
5,포트폴리오,학원 수료 후 첫 취준입니다. 포트폴리오를 어떻게 써야할지 전혀 모르겠습니다. 조언 부탁드립니다.,"정답이 없는 질문이라는것을 알지만, 너무 답답합니다. 검색은 하도 많이 해서 구글링 페이지가 이미 전부 다 자주색 링크로 덮여있어요🥺... 검색 시 많이 갈리는 답변들이 있더라고요. 1. 할수 있다면 다 적어라 vs 자신있는것만 적어라 - 전 사실 신입 입장에서는 사실 '코어' 스택이라고 할 만한 것이 있나 싶습니다.. 할수 있다 vs 없다의 구분도 모호하고요. 2. 이력서가 곧 포트폴리오 vs 이력서와 포트폴리오는 다르다 - 흔히들 개발자는 포트폴리오로 말한다고들 하는데, 그래서 포트폴리오를 만들다가 첫 장에 인적사항 적고 나면 이력서에 다 있는 내용들이라 어라 이거 맞나..? 싶게 되는 것입니다.. 3. 최대한 자세히, 무엇을 했는지 뭘 느꼈는지 보고싶어요 vs 봐야할 게 산더미, 간결하게 보고싶어요 - 이 부분이 검색시 제일 답변이 갈리는 부분 중 하나가 아닌가 싶습니다. 신입의 경우 사실 기술적 측면에서 비슷한 정도이니 결과가 아닌 과정(팀원과의 트러블 등까지 보고싶어하시는 답변도 보았습니다)을 보고싶어하시는 분들이 계시는 반면, 너무 길면 무엇을 했는지 알아보기 힘드니 간결하게 중요한 부분만 적었으면 좋겠다는 분들도 계시고요. 4. 링크 타고 들어가는거 번거로워요. 포트폴리오에 다 적어주세요 vs 포트폴리오는 간결하게 주세요, 자세한건 제가 링크 타고 들어가서 볼게요 - 3번과 사실 비슷한 질문 같습니다. 무엇보다 궁금한건 자세히 적어주세요, 에서 '자세히'가 얼마나 자세히인지 의문입니다. 모든 과정을 자세히 다 적으려니 팔만 대장경이 될것같아 두렵습니다😇 검색했을때의 자료들은 보통 '경력' 분들이 많아서 참고하기가 어려웠습니다. 경력분들은 아무래도 프로젝트 가짓수에서부터 신입과는 견줄 수 없으니 간결함을 추구하시는 분들이 많은 듯 합니다! + 모바일로 확인하시는 경우도 많다고 들어서 세로형태의 PDF로 작성중인데, 포트폴리오는 아무래도 가로형태로 많이 하시는 것 같습니다. 어떤쪽이 더 좋을까요?"
6,포트폴리오,백엔드 공부 계획 조언 부탁드립니다.,"안녕하세요, 27살 비전공 대학생입니다. 백엔드 공부 계획 조언 부탁드립니다! 지난 학기에 html, css, js를 스터디로 조금씩 배우다가 종강하자마자 1월에 JAVA 입문 교재 한권(Do it 교재)을 공부했습니다. 지금은 알고리즘 문제로 계속 JAVA 복습하면서 스프링부트 공부 (길벗- 자율학습 스프링부트3 교재) 공부하고 있습니다. ( https://www.yes24.com/Product/Goods/119952151 ) 곧 스프링 교재 끝나면 복습하면서 깃허브 교재를 공부할 생각입니다. 아직 게시판 하나 만들 수 있는 이론을 배운 정도이지만, 무작정 프로젝트부터 진행하면서 공부하고 싶어서 현재 자바, 스프링 프로젝트 스터디 하나 들어가 있고 아직 시작은 안했습니다. 2월에는 이렇게 시중 교재, 스터디 위주로 공부하려고 하는데, 3월~6월에 대학 수업 병행하면서 어떻게 공부해야할지 감이 잘안잡힙니다... 막학기지만 전공 5과목입니다... 포트폴리오에 넣을 만한 하나의 큰 프로젝트를 진행하면서 공부하고 싶은데 괜찮은 강의가 있는지, 아니면 얼른 취직을 하기 위해 돈이 들더라도 짧은 시간 안에 컴팩트하게 배우려면 부트캠프를 신청하는게 나은지 궁금합니다. 다음 3가지가 제가 생각한 공부 계획인데, 조언 부탁드립니다! 1) #학기 중 : 학회(하고 있는 컴퓨터학회 있음) 스터디 + 프로젝트 참여 #졸업 후 : 학회 프로젝트 포트폴리오로 바로 취준 / 포트폴리오 미흡하면 ssafy(1년) 비전공 지원(안되면 부트캠프(5개월) 지원) 2) #학기 중 : 정처기나 sqld 등 자격증 준비 + 동아리 말고 인터넷 강의로 포트폴리오 준비 -프로젝트 위주 강의(ex. 패스트 캠퍼스 - 10개 프로젝트로 시작하는 백엔드 웹발: 신입 개발자 취업 집중반 https://fastcampus.co.kr/dev_online_javaspring ) #졸업 후 : 인강 프로젝트 포트폴리오로 바로 취준 / 포트폴리오 미흡하면 ssafy(1년) 비전공 지원(안되면 부트캠프(5개월) 지원) 2) #학기 중 : 부트캠프(5개월) 병행해서 졸업 후 바로 취업 연계 받기 (시간표 때문에 대면 부트캠프는 안 될 가능성이 높음) 제가 교재 하나 정해서 공부하는 건 잘하는 편인데, 어떤 프로젝트를 해야 하는지, 나중에 더 좋은 기업으로 이직을 하기 위해서는 처음에 기업 지원해야 좋은지 등 취업 관련 정보가 전무하고 자소서와 면접 준비에도 도움이 필요하다고 생각해서 그런지 부트캠프에 의존하려는 경향이 있는 것 같습니다.. 저는 졸업하면 바로 포트폴리오 하나 달랑 들고 취준 찍먹이라도 해보고 싶은데 아직 공부도 많이 못한 상황에서 욕심일까요? 긴 글 읽어주셔서 감사하고, 추천하시는 계획, 조언이나 쓴 소리 많이 부탁드립니다."
7,포트폴리오,고등학생 대입 포트폴리오 주제 선택 질문입니다.,"안녕하세요. 저는 개발자를 꿈꾸고 있는 고등학교 3학년 학생입니다. 현재 대입 시즌이 되어 생기부 마감을하고, 면접준비를 하면서, 포트폴리오를 보는 전형이 있는 대입 전형도 같이 생각하게 되었습니다. 그러나 잘 적혀있는 생기부와 달리 어떤 포트폴리오/ 프로젝트 를 기재할지 아직 정하지 못하였습니다. 그동안 백엔드 공부, 프론트 엔드 공부, Flutter 같은 앱 개발 프레임워크 공부 등등 고등학교 생활기록부에 적히기 위해서 필요한 것들을 공부 하였습니다. 생기부는 과목에 맞춰서 프로그래밍 언어/ 프레임워크 를 공부하고 선생님 마음에 들게 프로그램이나 보고서를 만들어가면 좋은 결과를 얻었기 때문에 주제선택에서 쉬웠습니다. 덕분에 이것저것 여러개 찍어먹어보고 프로젝트도 만들어서 기재도 해봤지만, '저만의 기술'을 아직 찾지 못한것 같습니다. 포트폴리오에 적히는 것에서나, 면접에서나, '어느 분야를 전문적으로 탐구하고 공부하고 있다.' 를 말하기 어려운 상황입니다. 정보보안이면 정보보안, 백엔드면 백엔드, 토픽을 정해서 그쪽 분야에 대한, 통합된 포트폴리오를 만드는 것이 좋을것같은데, 아직 그러지 못해서 고민입니다... 포트폴리오 접수일까지 얼마 남지도 않아서 더욱 더 고민입니다... 저에게 맞는 포트폴리오란 무엇일까요? 물론 이건 저만이 알겠지만 현직 개발자분들은 어떻게 생각하실지 궁금해서 여쭤봅니다... P.S. 대입 포폴용으로 추천할만한 주제 있으시면 적어주시면 감사하겠습니다! 많은 도움이될것같습니다.. 감사합니다!"
8,포트폴리오,"[프론드엔드] 이력서, 포트폴리오 피드백 받고싶습니다.","대학 졸업 후 조교로 일하다 부트캠프 수료하고 이제 취업을 준비하고 있습니다. 학과가 정보통신공학이라 제로베이스 비전공자는 아닙니다. 처음에는 노션으로 이력서와 포트폴리오를 통합하여 되는대로 제출하다가 계속되는 불합격에 분리했습니다. 이력서는 꼭 필요하다고 생각되는 항목들을 한눈에 볼 수 있도록 간단하게 작성하였고, 자기소개서를 추가했습니다. 포트폴리오는 노션 포트폴리오로는 부족하다 생각해서 개인 포트폴리오 사이트를 제작했습니다. 현직자의 시선으로 제 이력서와 포트폴리오가 경쟁력이 있는지, 선배님들께 피드백을 받고싶습니다. <이력서 URL> https://drive.google.com/file/d/19bKofHn2hF8KYDQxJiPUbP8CQE6SDiBh/view?usp=drive_link/ <포트폴리오 URL> https://ksyee.netlify.app/"
9,포트폴리오,신입 개발자 포트폴리오 관련 질문드립니다!,"안녕하세요! 개발자 지망생입니다. 현재 취업을 위해 포트폴리오를 준비중인데, git pages를 통해 웹 포트폴리오를 배포한 상태입니다. 사람인이나 점핏에서 이력서를 제출할 때, 웹 포트폴리오 주소만 링크로 올려도 괜찮을까요?? 아니면 따로 포트폴리오를 PDF로 같이 첨부해야 할까요?? 저는 면접을 봤었을 때, PDF로 뽑아놓고 면접 당시되어서야 조금씩 봤었던것 같은 느낌을 받았어서 링크로만 걸어놔도 될지 잘 모르겠습니다. 자바 SI쪽으로 취업할 예정입니다."
