,company,job,title,question,answer
0,(주)한국에프디엑스네트웍스,IT/웹/통신,"1대1면접, 되게 편한분위기에서 이전 경력에 대한 질문과 업무지식을 질문.""","자기소개, 이전 회사에서 어떤 업무를 했었는지, 그 업무에대해 자세히 설명.",그냥그럭저럭..
1,"BTI Solutions, Inc.",IT/웹/통신,"최초 연락 후후 인터뷰 잡고 실질적으로 일하는 매니저님과 함께 면접을 보고 2주 후 합격여부을 알게 됩니다.""","이 일에 대해서 어떻게 생각하는지, 왜 여기에 왔는지, 어떤걸 생각하고 왔는지",긍정적으로 말하면 받아주신다
2,(주)스타랩스,IT/웹/통신,"1차 기술면접 - 2차임원면접 프로세스""",비전공임에도 개발자를 해야겠다고 생각한 이유?,무난했습니다
3,(주)한국신용데이터,IT/웹/통신,"서류 지원 후 일주일 후에 불합격 통보, 바로 다음날에 전화로 서류 합격줘서 면접 봤었던 이상한 회사 (채용팀 실수인 듯ㅠ)""","- 자기소개
- 회사에서 어떤 사람으로 평가되는지
- 이전 경력에 대한 질문","캐주얼 톡은 1차 면접이라고 생각하면 됨
실무진과 나눴던 대화는 가벼운 느낌으로 진행됐는데. 너무 가볍게만 답해도 안되는 듯
(사실 서류 탈락 시켜놓고, 다음날 합격했다고 연락줘서 기분이 좋지는 않았음 ㅠ)
회사에 대한 기대가 많이 떨어져서 준비 많이 안하고 면접 연습 느낌으로 갔었고, 실무진 면접 경험은 괜찮았으나 결코 캐주얼하지 않다는 걸..."
4,(주)씨에스리,IT/웹/통신,"1차 면접 실무 면접으로 보고 2차 면접은 윗분 면접이였습니다. 총 기간은 2달 안 걸렸습니다.....................""",이력서 위주로 물어봤습니다. 그에 대한 개념 위주로 물어봤습니다.,"편안하게 이력서 위주로 면접봤는데, 생각보다 면접 질문이 쉽습니다."
5,티쓰리큐(주),IT/웹/통신,"서류 전형 거치고 1차 면접 거치고 합격해서 들어왔습니다.""","1. MBTI는?
2. 프로젝트에서 어떤 역할을 담당하였는가?
3. 회사에서 마음에 안 드는 일이 일어난다면?","프로젝트에서 어떤 부분을 담당해서 어떤 역할을 했는지 답했고, 엄청 편하게 면접 봤습니다."
6,유엔넷(주),IT/웹/통신,"지원 후 약 2주 뒤 연락이 왔고 다시 2주 뒤 결과가 나왔다.
면접은 딱딱하지 않았고 부드러운 말투의 면접관을 만나서 무난했다.""","1. 희망 연봉
2. 야근, 주말근무 괜찮은지
3. 상주근무 괜찮은지","1. 회사 내규에 따른다고 답변
2. 괜찮다고 답변
3. 괜찮다고 답변"
7,(주)클루커스,IT/웹/통신,"그다지 좋은 느낌은 받지 못했습니다. 그리고 사람이 몇 명 보이지 않아서 회사 느낌이 나지 않았고 건물이 대학 캠퍼스 건물이라는 것을 집에 가면서 알았습니다""",기업에서 BI를 쓰는 이유가 뭘까요? BI가 뭔지 몰라요?,2차 면접에서 대표님이 1차 면접과 달리 굉장히 어려운 질문위주만 햤습니다
8,투비웨어(주),IT/웹/통신,"이력서 지원 후 얼마지나지 않아 연락이왔었고, 날짜 조정하여 면접에 참여
면접 분위기는 전체적으로 대화형식의 편안함 분위기 였으며, 기술부문 및 기타 일반적인 대화로 좋았음.""","hadoop, spark 사용 사례, 이력서 및 자기소개서에 있는 내용 질문, 열심히 할 수 있는 의지를 보시려했던것 같음.","면접 답변은 답하기 어려운 질문은 없었으며, 대부분 편안한 분위기 속에서 진행된 면접이었음."
9,(주)소프트넷,IT/웹/통신,"무례하다는 느낌을 받음
면접시작하면 그때서야 이력서를 보는느낌이다""","걸리는 시간,퇴사사유,이루고싶은목표 등등 평이하지만 집중해서 듣는느낌은아님",실무자가 질문하면 답변하고있는 와중에 대표가 다른질문을 하는 행위가 반복되고 흐름이끊김
