,company,job,title,question,answer
0,(주)리드넘버,IT/웹/통신,"1차 화상 면접 이후 2차 대면 면접을 봤습니다.""","1. 가장 살면서 몰입한 경험?
2. 리액트 기본 개념 질문
3. 포트폴리오 관련 질문들",분위기는 긴장하지 않게끔 친숙하게 다가와주셔서 좋았다. 답변에 대해서는 내가 준비를 잘 못한 것 같아 다음을 위해 더욱 준비를 해야겠다는 생각이 들었다. 컨퍼런스 체크용으로 질문들을 많이 하니 이 점에 대해 준비들을 많이 해야겠다.
1,핀다,IT/웹/통신,"실무 면접은 매우 자세히 이루어졌고 세세한 부분까지 답변했다""","이 회사에서 와서 해보고 싶은 것, 지원동기 둥등 다양",대표 면접이 까다로운 편이지만 대체적 자유로운 분위기 딱딱하진 않음
2,마이리얼트립(주),IT/웹/통신,"교육기간이 온라인 3일 오프라인 2일 그리고 바로 온보딩이 아니라 팀장 맘대로 교육기간 늘릴 수 있음. 심지어 온라인은 무급 오프라인은 서울 살면 하루에 3만원
줌으로 말도 안되게 복잡하고 체계없이 무질서한...""",왜 지원했는지? MRTCX에서 무엇을 하고 싶은지,"교육생기간이 무급이라서 첫날에 교육받던분이 7명이었는데 무슨 데스게임마냥 한명씩 두명씩 사라집니다. 그리고 오프라인 교육때 최종 저 포함 두명이었습니다ㅋㅋㅋ 그때부터 쎄했음
줌으로 보는 면접은 형식상이고 모두 붙이고 교육기간에 거르는 제가 겪은 면접중에 가장 서바이벌틱하고 룰도 없고 팀장 맘에 안들면 교육기간 늘리고 무급으로 일시키고 마이리얼트립..."
3,(주)컴파트너스,IT/웹/통신,"사람인 사이트에서 구직공고 보고 지원 . 자소서는 자사양식. 서류 합격 후 면접진행""",자기소개. 전공과 다른이 ㅈ지원한 이유. 미래 나의 모습,편하게 내 생각 말하면 됨
4,(주)버킷플레이스,IT/웹/통신,"-면접관이 면접시간 10분 가까이 지각, 이에 대한 사과 없음, 미팅이 길어졌다는 말만 들음
-면접은 직무 중심으로 대화
-면접관들이 굉장히 지쳐있고 찌든 표정이 아쉬웠음 면접 중 워라밸이 너무 안좋아보였음""",오늘의집에서 직무 분야 내 특정 부분을 강화하기 위한 아이디어는?,"내가 가진 아이디어 몇가지를 상세히 구술했으나, 중간에 면접관이 말을 짜르기도 하고 날선 태도를 보임. 동종업계 경력자끼리 대화를 나누는데도 본인들이 갑이라는 듯한 태도가 계속됨."
5,(주)스마트스코어,IT/웹/통신,"헤드헌터연락-서류접수-1차면접-2차면접 순으로 진행하였으며, 1차면접시 재무팀장,인사팀장
2차면접시 재무팀장,재무임원,대표
로 진행됨.""","1.당사에 대하여 어떤 회사로 알고있는지?
2.골프는 해본적 있는지?
3.스마트스코어라는 어플을 써본적있는지?","질문에 대하여 솔직하게 답변하였고 골프를 즐기진않지만 쳐본 경험이있고 스마트스코어라는 어플을 쓰진않지만 골프하는 사람이라면 필수적인 어플이라고 인식하고있다고 답변하였습니다.
답변을 하면서 느낀건 스마트스코어를 꼭 알아야만한다는 느낌을 많이 받았고 뭔가 강요하는 느낌의 분위기를 느꼈습니다."
6,엔에이치엔페이코(주),IT/웹/통신,"코로나 시기에 면접을 봤기 때문에 화상으로 봤고 1차 인사+영업 팀장, 2차 인사+임원 면접으로 진행됨""","현재 페이코가 다른 결제사에 비해 부족한 역량, 결제사 VAN사에 대한 개념 등",전체적으로 질문 자체가 전회사와 연관되어서 답변 수준 평이했음
7,틱톡,IT/웹/통신,"메일로 연락이 오고 1차 면접 후 그 주에 2차 통보 및 2차는 면접 다음날 최종 연락옴""",신입인데 실무 질문응 많이함 규정에 대해 물어봄 분위기는 화기애애,긴장하지 않게 배려 많이 해주시고 웃으면서 진행되어 딱딱한 분위기는 아니었으나 긴장되어 시간을 많이 주시고 물 마실수있게 배려도 많이 받음
8,(주)커리어넷,IT/웹/통신,"잡코리아 이력서 공개를 한 후 연락이 왔고 바로 면접일정을 조율한 후 면접을 보았습니다.""","1. 채용대행업무를 진행해 본적 있는지
2. 주말출장이 필수인데 괜찮은지
3. 엑셀을 어느정도 다룰수있는지","주말출장이 필수라고 한것에 당황스러웠는데, 해당 부분에 대한 급여나 왜 해당업무에 필수인지는 말씀해주시지 않고 지원자가 할 수 있는지만 묻는게 어이가 없었습니다."
9,(주)패러블엔터테인먼트,IT/웹/통신,"어쩌다 보니 캐스팅으로 입사한 케이스라 면접은 없었음""","하고 싶은 것, 이루고 싶은 것, 잘 할 수 있느냐",면접에 대한 건 따로 없는 듯 합니다.
