,subject,title,content
0,백엔드,프론트엔드와 백엔드 갈림길..,"안녕하세요. 저는 현재 4학년 2학기 재학중이고 프론트엔드를 공부하고 있는 대학생입니다. 제목을 보시면 제가 어떤 고민을 하고있는지 대략 짐작하실거라고 생각이 듭니다. 사실 전부 해야하는 것들이기에 이런 고민이 무의미하다 라는 말을 정말 많이 들었고 저도 하나만 할수는 없다고 생각을 합니다. 하지만 제가 생각 했을때는 일단 취업공고 자체가 프론트와 백으로 나뉘어져있기에 프론트든 백이든 하나만 일단 파고 그 분야로 취업을 해서 다른 분야를 공부해야겠다는 생각이 듭니다. 저는 파이썬 c 기본 문법 정도만 아는 학부생이였는데 3학년 2학기 끝난 겨울방학때 처음으로 end to end 개발에 참여해봤습니다. 거기서 프론트엔드로 참여를 했고, 생각보다 재미있어서 계속 이쪽으로 공부를 했던것 같습니다. 그 후로 4학년 1학기 끝나가는 지금까지 프로젝트를 2개 정도 추가로 진행했고, 모두 프론트엔드로 프로젝트를 진행했고, 진행중입니다. 하지만 취업을 위해 내가 프론트엔드를 하는게 맞는건가? 라는 질문에 대해 한순간도 명확했던 적이 없네요.. 뭔가 이런 질문에 명확히 답을 찾고 열심히 공부를 하고싶은데, 마음이 그게 안됩니다 ㅠㅠ 계속 조금씩 망설이게 됩니다. 제가 프로젝트로 백엔드를 해본건 아니지만, 일단 프론트엔드를 할때 재미있습니다. 퍼블리싱 하는 것도 재미있고, 기능 연동하고 데이터가 화면에 잘 뿌려지고 하면 뿌듯하고 재미있습니다. 하지만 데이터를 관리하고 기능을 구현하는 백엔드와 달리 프론트엔드는 화면을 잘 보여주고 최적화를 잘 하는 정도? 이잖아요. (제가 공부한지 얼마 되지 않아 무지한 발언 일 수도 있습니다. 죄송합니다.) 회사에 가서 자기 분야가 아닌 다른 분야를 해야하는 상황이 왔을때, 데이터나 로직을 만지는 백엔드가 확장성이 좋은가요?? 즉 훨씬 다른 일로 옮겨가기 수월하고 이직하기도 쉽나요? 데이터랑 로직을 어떠한 개발에서도 교집합이라는 느낌이라서 이 점이 굉장히 궁금합니다.. 백엔드는 이것저것 접근하기 쉬울거 같고 프론트엔드는 아무래도 좀 어렵나요..? 저도 요즘 너무 걱정이 많고 불안해서 여기저기 찾아보고 검색을 해보는데, 프론트엔드는 cs도 필요없고 운영체제 지식도 필요없고 , 전공자가 프론트 하는 건 진짜 웃긴 짓이다 이런 식으로 말하는 글을 봤거든요. 사실 이런 글들에 흔들리면 안되는건데, 또 흔들리는 이유가 개발자 취업 현황 유튜브를 보면 프론트엔드 취업하신 분들은 초봉 3000이 안넘는경우가 꽤 많고.. 백엔드는 그래도 초봉 3000은 넘는다는 점과 개발자를 준비하는 제 동기들 중 프론트엔드를 공부하는 사람은 진짜 너무너무 적다는 점 입니다. 제가 뭔가 남들과는 다른 길을 가는것 같다는 느낌과 불안감이 생기더라고요.. 하지만 이런 이유들로 백엔드로 넘어가보기에는 4학년 1학기가 다 끝난 지금 시간도 너무 없을뿐더러 여태 했던 프로젝트는 전부 프론트로 했는데, 짧은 시간에 백엔드로 또 프로젝트들을 진행해야한다는 점이 막막하기도 합니다. 자바스크립트로 공부하던 코테도 다시 공부를 해야하고요.. 솔직히 저는 프론트를 하고싶기는한데.. 위에서 나열한 이유들로 인해 내가 이걸로 취업 할 수 있을까? 하는 걱정과 불안이 너무 맴돌게 됩니다.. 그래서 현업자분들은 이런 제 생각에 어떤 식으로 생각하실지 궁금해서 이렇게 글을 올려봅니다 ㅠㅠ 제 주변에 이런 고민을 나눌 상급자 분이 안계셔서요.. 프론트를 계속 하게 된다면, 제가 아직 고도화는 못해봐서 여태 했던 프로젝트들에 고도화를 한번 진행해보고 백엔드 지식을 위해 node express로 간단한 crud 구현해보고 이런 경험들 토대로 이력서 써서 인턴부터 지원을 해볼 예정입니다.. 제가 아직 공부를 한지 얼마 안되서 잘 알지도 못한채 백엔드에 비해 프론트엔드를 좀 낮춰서 말한거 같은데, 현업자 분들에게 진지하게 조언을 받고싶어서 제 생각을 그냥 두서없이 적어봤습니다.. 프론트도 깊게 파면 팔 수록 신경 쓸 것도 많고 무척 어렵다는 것을 알고있습니다! 혹시 기분 나쁜 개발자 분이 계셨다면 죄송합니다.."
1,백엔드,어떤 경력을 갖춘 백엔드 엔지니어가 되어야 데이터 엔지니어로의 직무 전환 가능성이 있을까요?,"궁금한 게 생겨 구글링을 하던 중, 커리어리를 알게 돼서 글을 읽어 보다가 최근 생긴 고민에 대한 답을 얻을 수 있을지도 모른다는 생각이 들어 가입하였습니다. 그 고민은 ""어떤 경력을 갖춘 개발자를 목표로 할 것인지.."" 입니다. 현재는 대학교를 졸업하자마자 it와 관련 없는 회사에서 2년 가까이 재직 중 입니다. (그저 컴퓨터와 프린터가 있다 정도..) 그러다 올해 9월 말 즈음 어떤 계기로 인해 '회사를 그만두게 된다면 현재 경력을 살려 나만의 무기로 다시 취업할 수 있을까?'를 고민하게 되었고 경쟁성이 낮다는 판단 끝에 이직 준비를 시작했습니다. 지금은 프로그래머스에서 얼마 없는 SQL 문제는 다 풀고, 파이썬으로 풀어보고 있는데 다양한 글과 채용 공고를 보다가 입사 최저 조건이 코딩 테스트 합격인 것 같아서 일단 어느 기업이든 최저 합격이나 해보자는 마음으로 풀고 있습니다. 처음 이직을 결심 했을 때 유튜브/구글/인프런을 이용해 잡다하게 따라해 보고 데이터 엔지니어를 목표로 삼았는데 지금 알아보니 데이터 엔지니어가 다른 직군에 비해 신입을 안 뽑는다는 말이 많더라구요. (* 데이터 엔지니어로 정했던 이유는 불규칙적인 것을 규칙적으로 만드는 것, 어떤 데이터든지 간에 누군가가 필요로 하는 방식으로 가공하여 전달한다는 것이 데이터의 흐름을 전체적으로 제어하는 것 같아 매력적으로 보였기 때문입니다.) 신입보다는 백엔드에서 데이터 엔지니어로 전환하는 게 대부분이래서 백엔드를 목표로 공부하게 될 것 같은데 백엔드도 범위가 방대해서 어떤 공부를 해야할지 고민입니다..ㅜ 지금은 그저 막연하게 데이터를 많이 다룰 것 같은 회사에선 어떤 백엔드 역량을 갖춘 신입을 찾는지 채용 공고만 바라보고 있네요.. 여건상 가장 빠르게 고민해야 할 것은 국비교육, 부트캠프의 코스 선택이 아닐까 싶습니다. 데브코스 중 백엔드 코스와 데이터 엔지니어링 코스 사이에서 고민 중인데 아마 백엔드 코스를 신청하지 않을까.. 싶지만 그래도 고민되네요. a. 데이터 엔지니어링 코스를 교육 받아도 백엔드 신입 채용 가능성이 있을까요? (데이터 엔지니어 신입이면 더 좋겠지만..!) b. 얌전히 백엔드 코스를 선택할까요? b-1. 만약 백엔드라면 어떤 부분에서 전문성을 기르면 좋을까요? 해 본 걸 남기는 것도 혹시나 도움이 될까 싶어서 적습니다..! - html, css를 따라 입력해 보며 웹(?) 상에서 출력되는 것 변경해보기 및 아주 간단한 페이지 생성 (제일 재미없었기에 웹에 대한 흥미가 사라졌습니다.) - python, c, java, sql 문법 공부 (문제 풀 수 있는 언어는 사실상 python, sql 두 가지 입니다.) - 간단한 프로그램 리버스 엔지니어링 (얕은 어셈블리 + 자료구조 중 스택에 대한 약간의 이해..? 재밌었어요.) - 파이썬으로 특정 사이트의 리뷰를 크롤링하고 원하는 리뷰만 출력 (조금 엉성했지만 실전에 바로 사용할 수 있어서 그런지 흥미로웠습니다.) - 데이터셋을 내려 받아 pyspark, sparkSQL을 이용하여 스스로 기준을 만들어 임의의 테이블 생성해 보기"
2,백엔드,중고신입 프론트엔드 개발자 풀스택 업무 및 연봉 관련,"안녕하세요, 우선 저의 경우 이전 회사에서 프론트엔드 개발자로만 9개월 정도 일했습니다. 그리고 현재 회사에서 React 프론트엔드 개발자로 지원하였지만 입사 후 부터 지금까지 풀스택 개발 업무를 하고 있고 연봉은 삼천 중반대 받고 있습니다. 프론트의 경우 React가 아닌 Vue를 사용하여 개발중이고, 백엔드부터 MySQL 쿼리를 직접 만드는 것까지 작업하고 있으며 실제 서버에 배포하는 업무까지.. 그냥 처음부터 끝까지 제가 다 한다고 보면 됩니다. 물론, 프론트엔드 개발자가 백엔드 업무에 지식이 있으면 좋다고 생각합니다. 그래서 공부하려고 했기도 하구요! 근데 저는 프론트엔드 개발을 할때가 재미있습니다. 그래서 백엔드는 어느 정도만 알고 프론트엔드 개발에만 집중을 하고 싶은데 현재 회사에서 업무를 할때 제가 백엔드만 담당해서 진행한 프로젝트도 있고, 항상 개발할때 거의 대부분 풀스택으로 합니다.. ( 가끔 php로 개발할때도 있음 ) 아무래도 풀스택으로 하다보니 작업 시간이 2배 이상 소요됩니다. 왜냐면 백엔드쪽 지식은 아예 없었기 때문입니다. 그런데 회사에서는 이부분을 고려해 일정 산정을 해주지 않습니다. 예로, Select Search 필터 기능(Select 리스트에 조건들이 많이 있었음)을 프론트, 백엔드 모두 구현해야 한다고 했을때 저의 경우 백엔드쪽은 처음 작업하다 보니 늦어도 내일까지는 작업을 완료하겠다고 했습니다. (이때가 오후 2시~3시?쯤 이었던 것 같음) 참고로 이때가 입사한지 한달 좀 넘었을 시기였습니다. 그런데 해당 업무를 지시한 분께서는 ‘왜 이렇게 오래 걸리냐! 엄청 쉽잖아~ 본인은 1시간만에 개발하겠다. 늦에도 오늘까지해서 컨펌 받아라’ 라고 하시고 늘 업무를 주실때 마다 본인 기준으로 일정을 산정합니다. 물론, 이부분 관련해서 몇번이고 말씀드렸지만 달라지는건 없었습니다. 저는 개발을 정말 사랑하고 개발할때 재미있습니다. 그래서 일이라고 생각을 안 하고 즐기며 항상 작업을 했습니다. 그런데 어느 순간부터 작업을 할때 현타가 오고 개발을 하고 싶지 않을 때가 종종 있었습니다. ( react로 진행하는 사이드 프로젝트 제외 ) 타이트한 기간에 풀스택 업무까지.. 이 연봉을 받으면서 이렇게 일하는게 맞는건지도 모르겠습니다. 코드 리뷰도 없고, 제가 맞게 개발을 잘 하고 있는건지도 모르겠습니다. 그리고 개발을 할때 추후 발생할 수 있는 버그 및 성능 이슈등을 생각하면서 개발을 하는게 아닌 어떻게든 기한내에 프로젝트를 끝내야 한다는 생각에 기능이 동작하기만 하면 일단 넘어가는 식으로 개발을 진행하게 됐습니다.. 이런게 점점 쌓이다 보니 지금은 이직을 생각중이고, 이직할 곳도 찾고 있는 상황입니다. 이전 회사에서는 9개월 일했고( 회사 사정으로 인한 퇴사 ), 현 회사는 다닌지 지금 7개월이 다 되어 갑니다. 둘 다 1년을 못 채운 상태로 지금 이직을 하는게 맞는 걸까요…? 아니면 1년은 버텨야 하는건지.. 프론트 업무 외에 백엔드 업무를 할때 마다 스트레스를 너무 받습니다. 그러면서 연봉에 대한 불만이 생기고 이게 끝도 없습니다..ㅠㅠ 선배님들 현실적인 조언 부탁드림니다….."
3,백엔드,GCP Compute Engine로 프론트 + 백엔드 배포 질문있습니다,"회사의 프로젝트를 GCP로 배포를 하고 있습니다, 회사가 AWS대신 GCP를 사용중입니다 프론트 : React + typeScript 백엔드 : Express.js + SQL + MySQL 을 사용하고 있습니다 DB의 경우 MySQL을 사용중인대 백엔드 인스턴스에 mysql을 설치해서 그걸 사용하고 있습니다 GCP의 SQL을 별도로 사용하고 있지 않습니다 프론트랑 백엔드 각각 인스턴스로 분리한 상황입니다,외부에서 접근하도록 nginx를 사용하고 있습니다 백엔드는 백엔드 따로 배포 > 프론트에서는 배포된 백엔드 주소에서 GET, POST등 진행 항상 프론트/백엔드 별도의 인스턴스로 분리하여 배포하는 방식으로 진행을 했으나 회사에서는 비용 절감 겸 인스턴스를 통합해서 사용하길 원하고 있습니다 어떤식으로 배포를 해야할지 방향이 안잡히는대요 1. 프론트 + 백엔드 코드 하나의 인스턴스에 git clone 2. 별개의 포트를 사용 - 예시 : 프론트 3095, 백엔드 : 8082 3. nginx는 프론트 빌드 폴더를 외부에서 접근하도록 설정 4. 백엔드의 경우 별도로 pm2로 무중단 배포 진행 이런식으로 하면 될까요..?"
4,백엔드,안녕하세요 프론트 -> 백엔드(java)로 이직하려고 하는 주니어입니다,중소 SI 기업에서 프론트엔드 개발자로 두달 반정도 근무중입니다. 다름이 아니라 업무를 하다보니 백엔드에 더 관심이 가서 백엔드 개발자로 전향을 하려고 하는데 현 회사를 다니면서 백엔드 개발자를 준비하기에는 무리가 있어서 퇴사 후 준비를 하려고 합니다. 무리라고 생각되는 이유는 회사 일이 너무 많아 개인 공부할 시간이 거의 없는 이유입니다. 퇴사 후에는 개발과 관련없는 일로 돈을 벌면서 백엔드 개발 공부를 하려고 하는데 위의 과정으로 백엔드 개발자로 전향하면 개발자 커리어 공백이(백엔드 공부하는 시간) 생기게 되는데 백엔드 개발자로 취업시 단점이 되지 않을까 궁금합니다.
5,백엔드,백엔드 엔지니어와 데이터 엔지니어,"안녕하세요. 현재 데이터사이언스 전공 중인 4학년 학생입니다. 대학원에는 뜻이 없어 바로 취업을 하고 싶어서 직무를 찾아보는 중 데이터 엔지니어에 관심을 두게 되었습니다. 그런데, 데이터 엔지니어는 신입을 거의 뽑지 않아 백엔드에서 넘어가는 경우가 많다고 하더라구요! 4학년이지만 경영학과를 재학하다가 데이터학과로 편입을 했기 때문에 학교 수업 듣느라 지식이 많이 부족해서 백엔드를 하나 데이터엔지니어를 공부하나 어쨌든 공부할 것은 많다고 생각합니다. 방향을 확실하게 정해야 관련된 공부를 할 수 있을 것 같은데 어렵네요.. 자격증은 정보처리기사와 컴활1급 보유하고 있습니다. 1. 백엔드 엔지니어에서 경력을 쌓고 데이터 엔지니어로 직무 변경하는 것에 대한 의견 2. 데이터 엔지니어 신입으로 도전하는 것에 대한 의견 3. 백엔드를 하던 데이터를 하던 부트캠프 등의 과정을 밟아볼 생각인데, 학교와 병행은 힘들 것 같아 졸업 후에 할 생각입니다. 졸업 전에 따놓으면 좋을 자격증 있을까요?"
6,백엔드,next.js를 사용하는것의 의미,"안녕하세요. 신입 프론트엔드 개발자로 취업한지 3주된 뉴비입니다. react만 써보다가 취업 후 next.js를 공부하고 있는데요, next.js를 공부한지 얼마 안돼서 아직 모르는게 많은데 본질적으로 궁금한게 있어서 질문드립니다. next.js가 서버 사이드 렌더링이 되는것 뿐만 아니라 next.js 프로젝트 내에서 다양한 백엔드 로직을 수행하는 api들도 정의할 수 있는(심지어 DB 접근까지) 풀스택 프레임워크라고 알고있어요. 그럼 next.js로 프론트엔드와 백엔드 로직 모두 다루면 백엔드 서버는 따로 만들 필요 없는건가요? 그리고 요즘 프론트엔드 기술을 next.js를 채택하고 있는 기업들이 굉장히 많은데, 이런 곳들도 사실상 모두 백엔드 개발자가 따로 있잖아요? DB 데이터 처리, 보안 등과 같은 중요한 백엔드 작업을 전문적으로 수행하는 백엔드 개발자가 따로 있으면 어차피 프론트엔드 개발자는 결국 React 등을 사용해서 개발할 때처럼 클라이언트단만 신경쓰면 될듯한데 왜 굳이 프론트를 풀스택 프레임워크인 next.js를 사용하는 경우가 그렇게 많은 것인지가 궁금합니다. 단지 서버 사이드 렌더링이 된다는게 그렇게 의미가 큰걸까요? 궁금합니다..!"
7,백엔드,"프론트엔드 신입입니다. data속성, 프론트엔드 react 백엔드와 연결? 테스트 서버 질문","2. 리액트 환경과 백엔드 환경을 일단 테스트 Nginx -> 서버에 올리는거 잘 돌아가는지 공부해야할 부분 (로컬, 서버에 대한 지식, 프론트엔드 백엔드 연결 방법)이 있으면 추천 부탁 드릴게요.. 3. 프론트엔드 백엔드를 연결한다는게 api를 전송해보고 백엔드에서 응답을 받는 테스트를 하는건가요? 보통 초기에 리액트와 백엔드를 연결하려면 알아야할 부분이 뭔지 알려주신다면 정말 감사하겠네요 … 4. 로컬 서버, 개발 서버, 운영 서버 이 세개를 이용해서 개발하고 테스트해야한다고 하셨는데 제가 엔진엑스를 깔고 뭘해야할까요 ? 그리고 리액트로 start를 하면 3000으로 보는게 서버 그 자체인가요..? 5. .env / .env.데벨롭 / .env.프로덕트? 파일로 서버를 변수로 지정해야하는 부분이 있다고 블로그를 봤는데 맞나요 ..? 저도 공부를 한다고 했는데 모르는 부분이 많으니 답답하고 하지만 열심히 해보고싶습니다.. 백엔드의 어떤 부분을 파악하고 진행해야하는지 조언좀 부탁드릴게요 ㅜㅜ"
8,백엔드,IT 대기업이 선호하는 신입 역량,"제가 IT 대기업이 선호하는 신입 역량에 부합하는지 잘 모르겠습니다. 안녕하세요, IT 대기업 목표로 취업 준비중인 대학교 4학년입니다. 주변에 네카라쿠배와 같이 규모있는 IT 기업에 취업 성공한 선배분들을 보면 대부분 프론트 혹은 백엔드 중 한 분야를 정해서 깊이 공부했던 경우가 많았습니다. 저 또한 원래는 프론트엔드 개발자를 희망해서 저학년때부터 프론트엔드 개발자로 프로젝트에 계속 참여했었는데요, 그러다가 갑자기 올해부터 백엔드 개발에 더 관심이 생겨서 자바+스프링 부트로 백엔드 개발을 시작하게 되었습니다. 특히 프론트엔드 개발자로 프로젝트에 참여했을 때는 깊이있게 학습하지 않은게 아쉬워서, 백엔드 개발자로 참여하는 과정에서는 최대한 CS 지식을 학습하고 프로젝트에 적용하려 노력했습니다. 그리고 이 과정에서 기존 프로젝트에서도 개선해야 할 부분이 여럿 보여서 방학~2학기 중으로 이를 적용할 계획을 짰었습니다. + 현재는 백엔드 개발자로 취업하고 싶은 마음이 더 커진 상황입니다. 그러다가 좋은 기회로 이번 방학동안 클라우드 서비스 인프라 부서에서 체험형 인턴을 하게 되었습니다. 다만 제가 걱정되는 부분은, 저는 현재 프론트 백엔드 두 분야 모두 깊이가 아직은 부족하다고 생각되는데, 이 상황에서 인프라 인턴까지 하게 되면 대기업에서 선호하는 인재상과 점점 멀어지는 것이 아닌가 하는 부분입니다. 물론 당장의 취업이 아니라, 앞으로 좋은 개발자로 성장하는 것에 있어서 여러 분야를 경험하는 것은 매우 좋은 경험이라고 생각합니다. 하지만 앞서 언급했던 것처럼 주변 선배분들을 보면 한 분야를 깊이 공부하고 IT 대기업에 취업한 경우를 많이 봤어서, 제가 원하는 기업에서도 저와 같은 상황도 과연 선호할지 의구심이 드는 것도 사실입니다. 현실적으로 제가 생각한 목표를 달성하려면 앞으로의 방향성을 어떻게 잡아가는 것이 좋을지, 솔직한 충고와 조언 남겨주시면 감사드리겠습니다. 긴 글 읽어주셔서 감사합니다."
9,백엔드,"어설픈 딥러닝 엔지니어, 백엔드 신입으로 전환하고자 합니다.","안녕하세요. 모두 새해 잘 시작하고 계시길 바랍니다. 저도 새해를 잘 시작하고싶어 조언을 부탁드립니다. 저는 현재 4년차 딥러닝 엔지니어로 근무중이며 백엔드(신입)로 직무 변경을 생각하고 있습니다. 현재 재직 기업에서 제가 원하는 업무를 맡지 못했고 앞으로도 그럴 것 같아 내년에는 이직을 꿈꾸고 있습니다. 저는.. 이미 마음을 먹었지만 조금은 마음이 싱숭생숭해서.. 제 상황과 결정에 대해 어떻게 생각하시는지 말씀 부탁드리고자 합니다. * 현재 직무를 떠나려는 이유 0. 실속없는 경력 - 몇 년정도 이력서에 쓸 수 있는 딥러닝 업무, 개발 업무를 맡지 못했습니다. B2C가 아니며 일반적인 웹 서비스를 제작하는 기업이 아닌지라 개발 외적인 업무가 많고 동료들도 비슷한 상태입니다. 1. 실력 부족 - AI 석박사들과 견줄만한 개발자가 아닙니다. 흔한 인공지능 부트캠프를 졸업한 수준이라고 생각합니다. 간간히 해본 캐글은 은메달 2개 상태입니다. 주어진 문제를 분석하고 나은 방법을 찾기보다는 '이렇게 하면 더 잘 되겠지'라는 상상력으로 문제를 풀어보는 형식입니다. 학습은 바텀업으로 하려다보니 수학에서 번번히 지구력없이 질질 끌어버렸고.. 제자리입니다. 2. AI에 대한 흥미 저하 실력이 없다보니 점점 AI의 발전 속도를 따라가기 힘들고, 캐글 등에서 컴패티션을 하면 즐겁기는 하지만 가진 컴퓨팅 자원의 차이가 굉장히 커보이니 점차 흥미가 떨어집니다. >> 올 한해 열심히 공부한다고해서 프로젝트 경력없이 캐글 은메달만으로 AI 석박사들과 경쟁이 가능할만한 성과를 이루기에는 제 능력이 부족하다는 판단이 들었습니다. * 왜 백엔드를 0. 데이터 엔지니어, MLOps를 지망합니다. AI에 흥미가 떨어져도 여전히 재미있기에 그 주변을 멤돌고 싶어 조금 다른 방향으로 진로를 생각하고 있었습니다. 백엔드를 전혀 모르면서 위 직무가 가능하리라 생각지않아 백엔드 개발자부터 시작하려 합니다. 1. 웹 서비스 개발자로 일해보고 싶습니다. 한정된 범위에서 한정된 유저만을 위한 제품 개발에 참여하다보니 많은 사람들이 사용하는 서비스, 더 큰 규모의 서비스 개발에 대한 동경이 생겼습니다. * 출근 전, 퇴근 후 공부하면서 다른 백엔드 구직자들과 경쟁이 가능하리라 생각하는지 0. 잘 모르겠어서 해보려합니다. 너무 무식한 생각이지만... 그래도 열심히 해보면 되지 않을까요? * 직무 변경시 0. 연봉 감소 신입으로 다시 시작하는 점, AI 직군에 비해 평균적인 급여가 적은 직군이라는 점, 취업 시장이 얼어붙은 점을 생각하면 연봉 감소는 굉장히 클 것으로 생각합니다. 현재 5천 조금 넘는 상태인데 1년 공부해서 들어가면 2천 중반 ~ 3천 초반정도가 되지 않을까 싶습니다. 1. 개발 업무 그래도 지금보다 즐겁게 일할 수 있지 않을까요. * 그래서 어떻게 출근 전, 퇴근 후 공부를 하고 있습니다. 자바 & 스프링을 공부할 계획이고 현재는 자바 언어부터 보는 상태입니다. 웹개발 부분은 패스트캠퍼스 등 강의를 들으면서 계획을 다듬을 예정입니다. 아직까지는 명확하게 1년 플랜을 짜지는 못했습니다. 여기까지 귀한 시간 할애해주셔서 감사합니다. 혹시 해주실 말씀이 있으시다면 댓글 부탁드립니다. 감사합니다."
