,subject,title,content
0,부트캠프,백엔드 부트캠프 추천 부탁드립니다.,"안녕하세요. 올해 2월 졸업 예정인 24살 정보통신공학과 대학생입니다. 현재 저는 지방대에서 학교 수업만 따라간 수준이고, 따로 공부한 것은 장고로 웹개발 한 번 한 정도라 개발 지식과 실력이 많이 부족한 상황입니다. 그래서 부트캠프를 통해 실력을 쌓고 취업 준비를 하고자 합니다. 저의 1차적인 목표는 우테코, 네부캠, 싸피와 같이 기업 주관 부트캠프를 들어가는 것인데, 시기상 맞지 않기 때문에 2월 한 달간 정보처리기사 필기, adsp, sqld 자격증 취득하고 3월에 시작하는 부트캠프를 들으며 기업 주관 부트캠프를 준비하려 합니다. 부트캠프 마지막 과정인 취업 주차 때 기업 주관 부캠에서 요구하는 코딩테스트를 준비할 생각인데요. 제 동기들보다 1년 빨리 졸업하기 때문에 기업 주관 부캠에 붙을 수만 있다면 연달아 부캠을 들어도 상관이 없다는 생각을 가지고 있습니다. 제가 조언을 구하고자 하는 내용은 1. 사설(학원) 부트캠프를 듣고 기업 주관 부캠에 지원하려는 저의 생각이 잘못된 것인지와 2. 백엔드 부트캠프 추천을 받고 싶습니다. 제가 알아본 것 중에 괜찮다고 생각한 것은 엘리스 클라우드(자바/스프링) 기반 백엔드 엔지니어 트랙입니다."
1,부트캠프,부트캠프 객관적인 현실 궁금합니다.,"안녕하세요. 현재 웹 프론트엔드 취업 준비중인 비전공자입니다. 개발과 무관한 전공이고, 대학교 동아리에서 창업 경진대회 준비를 하다가 개발에 관심히 생겨 이후 독학 중입니다. 말이 독학이지 클론 코딩 몇번 해본게 전부라, 현재 개발자 취업 준비 중이라고 제 입으로 말하기도 부끄러운 상태입니다. 내년 안으로 취업이 목표라 여러 생각들이 많아, 현직자 분들이 많이 모여있는 곳에 질문을 드립니다. 1. 부트캠프를 수강하려 하는데, 정말 98% 수료율, 99% 취업률 등이 진실인가요? 부트캠프를 수강하신 선배님들 입장에서는 이러한 수치가 정말인지? 부트캠프 전반적인 분위기가 어떤지 궁금합니다. 2. 부트캠프는 배민 네이버 사피 등 대기업에서 운영하는 것이 아니면 절대 가지마라고 하던데 정말인가요? 사실 일년안으로 개발자 취업을 생각중이라 올해안에 꼭 부트캠프에 입학을 희망하고 있습니다. 대기업에서 연계 운영하는 부트캠프의 경우 탈락의 위험성도 생각을 안할 수가 없어 조금 불안한게 사실인데 위의 부트캠프들 아니면 절대 가지 않는게 맞을까요? 3. 현재 오프라인 부트캠프 위주로 생각하고 있는데 오프라인 부트캠프는 위코드, 바닐라코딩 두개가 유명하더군요. 혹시 두개 들어보신 선배님들이 있다면 전체적인 분위기는 어떤지, 어떻게 생각하시는지 알려주시면 감사하겠습니다. 그외 부트캠프를 통해서 비전공자 개발자 취업에 성공하신 개발자 분들이 있다면 지혜를 나눠주시면 좋을 것 같습니다. 부트캠프 고르는 팁 등등 알려주시면 내년도 등록시에 참고하겠습니다."
2,부트캠프,부트캠프 참가가 고민됩니다,"안녕하세요 저는 이제 1년차 주니어 머신러닝 엔지니어 입니다. 소규모 스타트업에서 1년간 재직하다가 백엔드 개발이라는 분야로 개발 분야를 옮기고자 국비지원이 되는 부트캠프에 참가하려고 고민중입니다. 해당 부트캠프는 유명한 부트캠프는 아니지만 대기업에서 주관하는 부트캠프이며 우수 수료시 해당 기업 서류 가산점을 주는 이점이 있는 부트캠프입니다. 하지만 커리큘림 상에서 프론트 개발 수업이 일부 있다는 점, AI 관련 수업이 약 2주가량 있다는 점 이 2가지 때문에 약간 고민이 됩니다. 실질적인 Spring 개발 기간은 약 한달 정도 입니다. 위탁이 아닌 기업에서 주관하기 때문에 교육 질은 어느정도 보장되고 현업자 멘토링 과정도 포함되어 있는 점은 좋을 것 같습니다. 하지만 서류 가점이라는 하나만 보고 해당 부트캠프에 참여해야 할지가 고민입니다. 저는 전공자이며, 회사 프로덕트가 웹 기반이 아니라 웹 서비스 개발에 대한 경험이 거의 없는 상태이며 현재 혼자서 스프링 강의를 들으며 공부중입니다. 지방 거주중이라 타 부트캠프를 고려하는게 비교적 어려운 상태라 더욱 고민이 됩니다. 선배님들은 해당 부트캠프 참여를 어떻게 생각하시나요?"
3,부트캠프,"부트캠프를 고르는 것에 질문,고민이 있습니다 선배님들","안녕하십니까 선배님들. 이번에 4년제 졸업한 전공 취준생입니다. 취준에 앞서 부트캠프를 이것저것 찾아보고 알아보고 있습니다. 우선 유료 부트캠프나 국비학원? 같은 것들은 제쳐두고 싸피,sw마에스트로 같은 네임드 부트캠프들만 지원하고 준비하고 있던 와중 신한,sk,신세계 등 유명 기업에서 주최하고 커리큘럼 자체도 나쁘지 않지만 참여하는 기업(취업연계 같습니다)이 아쉽다거나 후기나 취업성공 사례 등 정보가 부족 혹은 후기가 별로이기도 하는등 망설여지는 부트캠프들도 있습니다.. 꼭 유명 기업이 주최한다고 해서 괜찮은 부트캠프일거란 보장이 없기도 하고요.. 어느 곳이든 제가 하기 나름이겠지만 그래도 급한대로 어느 곳이든 들어가서 하는게 나을지, 시간이 조금 늦춰질 수 있더라도 교육,포트폴리오 채우기, 취업지원 등 여러방면에서 이미 검증된 유명 부트캠프(싸피,sw마에스트로,네이버 부스트캠프,프로그래머스 등)를 준비하는 것이 나을지 에 대해 선배님들께선 어떻게 생각하시는지 궁금합니다.. 참고로 망설여지는 부트캠프들은 대게 2 3월에 바로 교육을 시작해 6개월 정도로 진행이되고 검증된 네임드들은 4 5월부터 공고가 뜨기 시작합니다.. 급한 마음에 애매한 곳에 가버리면 최선의 선택지를 시도도 못해보게 되는게 아쉬우면서도 찬밥 더운밥 가릴때인가 싶기도 해서 이리저리 고민이 됩니다ㅜㅜ"
4,부트캠프,백엔드 공부 계획 조언 부탁드립니다.,"안녕하세요, 27살 비전공 대학생입니다. 백엔드 공부 계획 조언 부탁드립니다! 지난 학기에 html, css, js를 스터디로 조금씩 배우다가 종강하자마자 1월에 JAVA 입문 교재 한권(Do it 교재)을 공부했습니다. 지금은 알고리즘 문제로 계속 JAVA 복습하면서 스프링부트 공부 (길벗- 자율학습 스프링부트3 교재) 공부하고 있습니다. ( https://www.yes24.com/Product/Goods/119952151 ) 곧 스프링 교재 끝나면 복습하면서 깃허브 교재를 공부할 생각입니다. 아직 게시판 하나 만들 수 있는 이론을 배운 정도이지만, 무작정 프로젝트부터 진행하면서 공부하고 싶어서 현재 자바, 스프링 프로젝트 스터디 하나 들어가 있고 아직 시작은 안했습니다. 2월에는 이렇게 시중 교재, 스터디 위주로 공부하려고 하는데, 3월~6월에 대학 수업 병행하면서 어떻게 공부해야할지 감이 잘안잡힙니다... 막학기지만 전공 5과목입니다... 포트폴리오에 넣을 만한 하나의 큰 프로젝트를 진행하면서 공부하고 싶은데 괜찮은 강의가 있는지, 아니면 얼른 취직을 하기 위해 돈이 들더라도 짧은 시간 안에 컴팩트하게 배우려면 부트캠프를 신청하는게 나은지 궁금합니다. 다음 3가지가 제가 생각한 공부 계획인데, 조언 부탁드립니다! 1) #학기 중 : 학회(하고 있는 컴퓨터학회 있음) 스터디 + 프로젝트 참여 #졸업 후 : 학회 프로젝트 포트폴리오로 바로 취준 / 포트폴리오 미흡하면 ssafy(1년) 비전공 지원(안되면 부트캠프(5개월) 지원) 2) #학기 중 : 정처기나 sqld 등 자격증 준비 + 동아리 말고 인터넷 강의로 포트폴리오 준비 -프로젝트 위주 강의(ex. 패스트 캠퍼스 - 10개 프로젝트로 시작하는 백엔드 웹발: 신입 개발자 취업 집중반 https://fastcampus.co.kr/dev_online_javaspring ) #졸업 후 : 인강 프로젝트 포트폴리오로 바로 취준 / 포트폴리오 미흡하면 ssafy(1년) 비전공 지원(안되면 부트캠프(5개월) 지원) 2) #학기 중 : 부트캠프(5개월) 병행해서 졸업 후 바로 취업 연계 받기 (시간표 때문에 대면 부트캠프는 안 될 가능성이 높음) 제가 교재 하나 정해서 공부하는 건 잘하는 편인데, 어떤 프로젝트를 해야 하는지, 나중에 더 좋은 기업으로 이직을 하기 위해서는 처음에 기업 지원해야 좋은지 등 취업 관련 정보가 전무하고 자소서와 면접 준비에도 도움이 필요하다고 생각해서 그런지 부트캠프에 의존하려는 경향이 있는 것 같습니다.. 저는 졸업하면 바로 포트폴리오 하나 달랑 들고 취준 찍먹이라도 해보고 싶은데 아직 공부도 많이 못한 상황에서 욕심일까요? 긴 글 읽어주셔서 감사하고, 추천하시는 계획, 조언이나 쓴 소리 많이 부탁드립니다."
5,부트캠프,국비지원과 부트캠프 차이가 뭔가요?,"안녕하세요. 비전공자인데 작년부터 개발에 흥미가 생겨서 javascript, html, css를 독학했고 배우는 과정이 너무 재밌었어 아예 개발자를 진지하게 준비하려고 합니다. 지금 react 기초적인 강의를 인프런에서 듣고 있는데요. 이렇게 계속 혼자 공부만 하다보니 좀 지치기도 하고 제가 지금 맞는 방향으로 공부하고 있는건지 혼란스럽기도 합니다. 그래서 이게 정답은 아닌 것을 알지만 교육기관에서 공부를 하고 싶단 생각이 계속 듭니다. 대표적인 교육기관으로는 (다시 대학교를 가는 것은 고려하지 않았습니다. 투자해야 하는 기간이 너무 길어서요) 국비지원학원과 부트캠프가 있는 것으로 알고 있는데요. 커리어리 뿐만 아니라 블로그나 다른 곳에서 정보를 찾아보면 국비지원학원은 비추하는 경우가 상당히 많더라고요. 강의 퀄리티도 별로 좋지 않고, 무료다 보니 학생들도 의욕이 떨어진다는 내용이 많았습니다. 반면 부트캠프는 매우 비싸더라고요. 이렇게 돈을 낸다면 없던 의욕도 생길 것 같긴 합니다.. 그런데 부트캠프 중에 k-digital training 지원을 받아서 무료로 들을 수 있는 것도 있더라고요. 이게 무슨 차이인지 헷갈려서 실제로 경험자 분들의 조언을 듣고 싶습니다. 말이 길어졌는데 그래서 제 질문은 1. 실제로 국비지원학원보다 부트캠프가 더 좋은 선택일지? 2. 부트캠프 중에도 국비지원을 받을 수 있는 곳들이 있다는데 이건 그럼 부트캠프와 어떤 차이가 있는건지 궁금합니다. (kdt 국비지원 부트캠프와 유료 부트캠프 간에 커리큘럼이나 강의질 차이가 있는지?) 미리 감사합니다."
6,부트캠프,백엔드개발자가 목표인 취준생입니다. 고민이 있어 질문드립니다,"안녕하세요. 비전공 취준생입니다. 현재 부캠에서 9주째 학습중입니다. 아무것도 모르는 상태에서 시작하려다보니 조급한 마음에 무턱대고 부트캠프를 시작했습니다. 돌아보니 자바의 정석이라도 1회독해보고 참여할 걸이라는 생각이 많이 듭니다. 부캠 내 동기들과 비교해도 최하위권이고 얼마전 과제에서도 제대로 수행하지 못해서 '이대로는 이도저도 안될 것 같다' 라는 생각에 질문을 남기게 되었습니다. 제가 객관적으로 봐도 부캠 수료 이후 바로 취업은 어렵다고 생각합니다. 포폴도 빈약할 것이고, 코테 문제도 프로그래머스 lv0도 겨우 풀거나 못풉니다. 그래서 수료 이후에도 개인프로젝트, 자격증을 취득할 생각입니다. 여쭙고자 하는 것은 2가지입니다. 1. 학습 플랜을 6개월 3개월 1개월 순으로 나누어 진행할 예정입니다. 6개월 계획은 개인프로젝트에 관한 계획입니다. 어떤 이슈를 가지고 기획을 할 것인지 그리고 그 기획을 바탕으로 어떤 관련 기술스택을 학습할 것인지을 알아가며 만들 계획입니다. 3개월 계획은 남은 부트캠프를 어떻게 따라가느냐에 관한 계획입니다. 아르바이트를 하면서 참여하다보니 학습시간이 예상보다 많이 적은 시간을 투자하고 있습니다. 그래서 피크타임에만 일하고 그 외 시간에는 부트캠프에 투자하려고 합니다. 1개월 계획은 기본적인 것들이지만 꾸준함을 기르기 위함입니다. 지금 생각중인 것은 베이스부터 단단하게 다지기 위해 3가지 계획을 구상했습니다. 자바의정석(기초편) 을 1회독 하는 것, 매일 6시전 기상 및 12시 취침, 코테 문제 1일 최소 1문제 풀기 입니다. 선배님들이 보시기엔 제 계획이 올바른 성장 방향으로 가기 좋은가요? 2. 인프콘과 같은 컨퍼런스에 참여하는것이 개인적으로 좋을까에 대한 질문입니다. 인프콘에 참여를 할까말까 깊이 고민중입니다. 사실상 개발지식이라곤 100 중 10도 안되는 취준생이 지방에서 서울까지 올라와서 참여하는 것과 하루동안 방에서 개인 공부하는 것 중 어느것이 더 나은지에 대한 고민입니다. 선배님들은 어떠셨을것 같으신가요?? 넋두리를 하자면... 대학생 시절에 개발에 흥미가 있어서 개발자에 준비하게 된 케이스입니다. 물론 잘하진 않았습니다. 그저 아두이노로 실습한 게 전부였습니다. 그 과정에서 흥미가 생겨서 이걸 업으로 삼고 싶은 마음에 시작하게 되었습니다. 그러다 백엔드개발을 택했습니다. 그런데 요즘들어 내가 개발이 맞지 않은 적성인가, 개발 쪽 재능이 없나 라는 생각이 자주 듭니다. 최근에는 정보처리기사 필기도 불합격이 뜨고, 게으른 계획쟁이라는 이야기를 듣는 사람이라 더 스스로 자극을 주고 열심히 하자는 마인드로 살아가고 있긴 하지만 부캠에 같이 참여하고 있는 동기분들의 실력을 보면 가끔 '난 뭐를 하는가' 라는 생각이 듭니다. 부캠이 9주차에 진입하니 같이 듣던 동기들 중 하차한 동기들도 많고 이제 남은 동기분들은 거진 전공생이거나 국비를 듣고 부캠에 참여한 케이스가 다수라 격차가 벌어지는게 실감이 많이 나면서 제 자신에게 '개발에 대한 재능이 없는 사람인가' 라는 질문을 던지고 있습니다. 그래서 처음으로 커리어리에 질문 남기게 되었습니다. 어떻게 살아가야하고.. 어떤 방향을 잡고 앞으로 나아가야 지금의 멈춰있는 상태보다 더 나아갈지 고민이 깊어져서 글을 올립니다. 긴 글 읽어주셔서 감사합니다."
7,부트캠프,이름있는 부트캠프 들어가는게 맞을까요 ?,"안녕하세요 . 웹 프론트엔드 준비중인 컴퓨터공학 졸업자입니다. 저는 대학시절 프로그래머는 꿈도 안꿨고 그냥 갈곳 없어서 갔던 과인지라 학교도 거의 안다니고 학고도 3번 받을정도로 이쪽 분야에 꿈이 없었습니다. 근데 올해 8월 겨우겨우 논문으로 졸업을하고 원래는 생산직을 들어가려고 했으나 생산직의 환경이 제가 바라는 근무환경과 너무 달라 개발자를 선택하게 됬습니다. 전공자라는 말에 무의미하고 부끄러울정도로 아는게 없었고 개발자아니면 난 안된다. 라는 마인드로 늦게나마 정신차리고 준비중에 있습니다. 현재 html,css,javascript 배우고있고 클론코딩과 노드를 매일 작성해가며 나름대로 열심히 한다고 하고있습니다. 근데 여기서 질문이 있습니다. 1. 알아보니 요즘은 거의 부트캠프를 거쳐오기 때문에 부트캠프는 필수라고 들었는데 맞을까요?? 2.부트캠프도 종류가 많더군요. 근데 어떤 유튜버 분이 카카오클라우드 , 우테코 , 프로그래머스 , 사피 여기 4곳을 빼면 다른 곳은 별로라고 하셨습니다. 수강진이나 커리큘럼등등 저는 이제 슬슬 부트캠프 들어가서 팀프로젝트도 해보고싶고 더욱 더 시간투자를 하여 공부하고 싶습니다. 근데 알아보니 위에 네곳은 다 마감이더군요. 그래서 네곳의 부트캠프를 기다릴지 , 다른 곳 들어갈지 고민이 너무 됩니다. 3.개인적으로 엘리스레이서 라는 부트캠프가 11월중에 모집중에 있는데 여기는 어떻게 생각하시는지 궁금합니다. 또한 , 좋은 부트캠프를 고르는 팁이 있으면 알려주시면 감사하겠습니다 . 두서 없이 긴글 읽어주셔서 감사합니다. 도움이 필요합니다. 물어볼곳도 없고 계속 답답한 마음에 이런 좋은 커뮤니티를 알게되어 여쭤봅니다. 감사합니다."
8,부트캠프,부트캠프 가는게 맞을까요?,"현재 지방 사립대 재학중인 3학년입니다. 최근 안드로이드쪽 공부를 하다보니 흥미를 느껴서 안드로이드쪽 취직을할까 생각이 많이 드는 상태입니다.(언어 제외하고 웹, 리눅스?, 현재 수업중인 백엔드 포함해서 지금까지 배워본 것중에 제일 재밌어요) 하지만 제 실력은 그저그런 학부생 실력이고... 아직 그렇다 할 프로젝트를 해보지 않아서 그런지 제 실력에 대한 의심과 두려움, 걱정이 너무 많고 일단 대기업을 목표로 열심히 공부하다보면 제가 못해서 대기업을 못가도 중견정도는 갈 스펙이 만들어지지않을까하는 생각에 더 열심히 하고 있는것 같습니다. 여러 부트캠프가 있지만 안드로이드에 대한 부트캠프는 많이 없는 것 같고 이왕 갈거면 대기업 부트캠프도 도전해보고 싶은데, 지금 제 실력은 프로그래머스 lv.1이고 안드로이드 공부도 시작한지 얼마 안되서 이상태로 부트캠프에 가면 제가 잘 할 수 있을지 모르겠어서 부트캠프 다녀오신 분들한테 조언을 듣고 싶습니다... 현재 코테를 공부하다보니 개념이 좀 부족한것 같아서 코테+ 개념 공부 +학교공부+교내 캡스톤 준비중입니다. 마지막으로, 부트캠프나 현장실습 체험형 인턴을 생각하고 있는데 할수만 있다면 4학년때 휴학하고 할거 같아요!! 긴 글 읽어주셔서 감사합니다!!"
9,부트캠프,첫 직장의 중요성 및 연봉,"안녕하세요, 24년 2월에 컴공 졸업했습니다. AI 엔지니어로 대기업에서 인턴을 한 경험을 살리기 위해 인공지능 분야로 취준을 하다 데이터 엔지니어링에 관심이 생겨 부트캠프를 듣고 있습니다 . 부트캠프를 들으면서 현재도 여러 회사에 지원 중인 상황입니다. 면접도 여러군데 봤고 합격한 곳도 여러 군데 있었지만, 그 당시에 제가 하고 싶은 AI나 데이터 관련 직무가 아니라 거절을 했습니다. 하지만, 요즘 여러가지 생각이 듭니다. 전공생인데 취업 안하고 부트캠프 끝나면 11,12 월인데 이래도 되나? 부트캠프 들어서 원하는 데이터 엔지니어로써 중견, 대기업에 바로 들어갈 수 있을까? 전공생인데 부트캠프 듣는 것에서 오는 현타, 그리고 취업 시장이 안좋은 만큼 경력을 6개월~1년 쌓아서 중고신입으로 지원하는 것이 더 낫나? 등등 데이터에 관심이 있어 부트캠프를 듣고 있지만, c++에 흥미가 있고 제어에도 관심이 있다보니 제어 관련 중소에서 제안한 포지션 면접을 봤습니다. 위에서 말한 여러 생각들에 의해 그냥 중소에 들어갈까 고민이 됩니다. 근데 막상 합격한 중소에 들어가자니 연봉이 낮아 문제입니다. 개발자는 첫 직장, 연봉이 중요하다 들었는데 중소에 연봉이 식비 포함 3천 중반입니다. 합격했지만 거절했던 회사들은 연봉이 한 곳이 3천 후반 나머지가 4천 중 후반이였는데, 이러면 관심있는 직무만으로 이 회사에 들어가는 것에 현타? 비슷하게 옵니다. 데이터 엔지니어링에 관심이 있어 합격했던 회사들을 포기한 만큼 부트캠프에서 열심히 준비하고 취업하는 것이 좋을까요? 아니면 지금이라도 경력을 쌓으며 중고 신입을 준비하는 것이 좋을까요? 물론 사람마다 생각하는 방식이 달라 정해진 답변이 없다는 것을 알고 있습니다. 하지만, 결정하는데 조금이라도 도움이 된다고 생각합니다... 선배님들의 의견 부탁드립니다."
