,company,job,title,question,answer
0,(주)스푼라디오,IT/웹/통신,"원티드로 지원 후 빠르게 1차 면접 잡힘. 대체로 합격이면 7일 이내로 빠르게 연락오는편""","가장 기억에 남는 프로젝트
주로 어떤 채널을 다루는지
입사하면 어떤 마케팅 할건지",꼬리질문 많고 지원자의 역량과 회사가 원하는걸 꼼꼼히 확인하는거 같았습니다. 질문을 잘 해주셔서 편하게 답변할 수 있었습니다.
1,(주)와이드넷엔지니어링,IT/웹/통신,"전화 연락 후 면접을 진행하며 면접 후 개별 통보""","집이 어디인지
위치가 멀어도 근무가 가능한지
전 직장 퇴사의 이유는 무엇인지",다 답변할 수 있는 질문들이었고 특이한 점은 없었음
2,(주)에스아이에이,IT/웹/통신,"서류를 제대로 본 게 맞는지 의문이 드는 경험. 회사에 대한 자부심이 넘치는 느낌""",그걸 왜 그렇게 만들었냐 적용했냐 왜 그런 생각을 하지 못했냐 등의 꼬리를 무는 질문들,적절하게 잘 대답했음. 젊은 꼰대들이 많다고 느껴졌음
3,(주)발란,IT/웹/통신,"발란에서 먼저 채용제의를 주어 서류 접수를 하였는데... 하루도 되지 않아 서류 탈락시킴. 이럴거면 제의를 왜 주는지 이해가 안됨""","채용제의 후 서류에서 탈락하여 이후 진행을 허지 못함.
적합한 포지션이었으나 아쉬움",회사 측에서 먼저 제안을 주었는데 서류탈락을 시켜서 회사에 대한 이미지가 안좋음.
4,로동,IT/웹/통신,"문자로 합격 연락이 왔고, 회사에 찾아가면 1대1로 면접을 함""","MBTI, 기본적인 cs질문, 질문에 대한 답의 꼬리질문을 함",대표님께서 편하게 면접볼 수 있도록 배려해주신 것 같고 좋았다
5,(주)엘림넷,IT/웹/통신,"온라인 지원하여 유선으로 면접 일자 협의 후 면접 진행""","네트워크 기본 질문, 그 외 이력서 내용 참고하여 질의","면접이라기 보단 퀴즈 맞추러 간 느낌
면접관이 면접자를 '판단'하는거 같음
이미 완성형인 '인재'를 찾는 느낌

결과적으론 이제껏 본 면접 중 가장 기분이 나빴던 경험이었음"
6,(주)아파트아이,IT/웹/통신,"원티드 지원 후 인사팀 연락으로 1,2차 면접 진행""","문제 생겼을때 처리 방법?
트랜젝션
쓰레드",요즘 시대에 보기 드문 압박 면접이었음 굉장히 부정적인 기억이다.
7,매드업(주),IT/웹/통신,"채용 플랫폼 지원 후 메일로 안내 받은 시스템으로 면접 일정 잡음""",근무 하면서 제일 기억에 남는 인사이트를 말해줄 수 있는지,"스스로 생각하는 내용을 기반으로 답하면 될 듯함, 면접관분들의 전문성이 느껴졌음"
8,(주)야나두,IT/웹/통신,"서류 -> 1차 -> 2차 -> 레퍼런스체크""","1. 자기소개
2. 퇴직사유 & 지원동기
3. 실제로 어떤 부분을 기여할 수 있는지","업에 대해서 얼마나 알고 있는지, 실무적인 능력이 실제로 있는지, 그리고 열정이 있는지 물어봄. 약간 눈빛이 무서웠음"
9,(주)와이어블,IT/웹/통신,"구인 사이트에 이력서 제출 후 전화 옴 2층에서 면접 보고
추 후에 최종 합격 연락 옴 불합격은 따로 연락 없는 듯""","별거 없음 그냥 마실 나간다 생각하고 간단하게 1분 자기 소개나 자기 직무 용어 몇개 외우고 가세요 딱 그정도 물어 봅니다.

면접관이 많음 6분정도 되는 듯",특별한 거 없어요 긴장하지 말고 마실 나간다 생각하고 갔다오면 됩니다.
10,(주)다산네트웍솔루션즈,IT/웹/통신,"인사담당자 연락 받고 일정 잡고 방문하여 면접 진행""","담당했던 업무, 출퇴근 거리, 결혼이나 아이 유무","회사 상황이나 팀 내 포지션 설명을 해주셔서 감사했습니다, 그런데 팀 인원이 많이 바뀐것 같아 좋아보이진 않았습니다. 근데 그래도 그게 팩트이니 미리 알려주신것이 감사하지요.

회사가 이사 예정이고 거리가 꽤 먼 곳으로 하는데 채용공고에 적어줬으면 좋을것같아요."
11,아이씨티웨이(주),IT/웹/통신,"면접 분위기는 편안히 좋았습니다
인사팀에 직책 상의한다고 긍적적인 답변이 오갔습니다
다만 다른 지원자도 봐야하니 결과를 2주이상 기다려달라고 하더니 답변도 없습니다
개인적인 질문은 삼가해주세요""","mbti가 뭔가요
지방 출근 가능한가요
결혼했나요
술 잘먹나요
회식있는데 괜찮나요?",편안하긴했지만 직무가 아닌 인성질문이 대다수입니다 그냥그렇습니다
12,넛지헬스케어(주),IT/웹/통신,"서류 - 온라인 코딩테스트(CodeSignal) - 대면 면접 단계 순서
개발팀 실무자1, 인사담당자1의 2:1로 진행""","이력서와 포트폴리오 기반 질문 2-3개 정도
리액트의 라이프사이클에 대해 설명해주세요.
이벤트 루프에 대해 설명해주세요.
이벤트 버블링에 대해 설명해주세요.
SPA와 MPA에 대해 설명해주세요.
링크드 리스트와 해시 테이블에 대해 설명해주세요.
프론트엔드에서 css가 차지하는 비중은 어느정도 된다고 생각하시나요?
최근에 관심있는 기술이...","서류 열람완료 메일을 받은 후 바로 다음날 코딩테스트 안내 메일을 받았습니다. 코딩테스트는 Code signal이라는 외국 플랫폼을 사용하고, 영어로 출제됩니다.
코테 응시일 9일 후에 코딩테스트 합격 안내와 함께 면접 일정에 관한 메일을 받았습니다.
면접 일정이 어느정도 조율이 가능해서 좋았습니다.

면접 당일 회사 건물 1층 샌드위치..."
13,(주)넷티어시스템즈,IT/웹/통신,"이력서 - 기술면접 - 임원면접
기술면접은 기본적인 기술 베이스에 관한 질문이라 편한 마음으로 볼 수 있었습니다.""",학부때 진행했던 프로젝트 경험 / 본인의 장단점 / 취미,긴장감 없이 편한 마음으로 볼 수 있는 면접이었습니다.
14,팀윙크(주),IT/웹/통신,"인사딤당자 분이 친절하게 모든 프로세스에 도움을 주셨습니다""",기술적인 질문과 이력서 연관된 질문들을 주로 받았습니다,"이력서에 적힌 내용은 잘 숙지하고, 기술적인 것들도 차분히 생각한 후에 답변하면 좋을 것 같습니다"
15,(주)엑심베이,IT/웹/통신,"주니어 면접이다 보니, 회사에서 제공되는 서비스에 대한 질문 및 인성, 성격을 보고 최종 합격""",팀원과의 불화시 어떤 방식으로 해결하고 나가고 싶은지 설명해주세요.,면접과 이후 입사했었을때의 방식은 많이 다르지 않아 좋았습니다.
16,세종텔레콤(주),IT/웹/통신,"이력서 그대로 물어봄. 어려운 질문 없음, 면접분위기는 편안했음.""",전공과는 전혀 다른 직무를 선택했는데 잘할수 있는지?,이미 관련 자격증을 취득할만큼 관심도가 크다. 잘할 자신 있다
