,company,job,title,question,answer
0,(주)에이블리코퍼레이션,IT/웹/통신,"인터뷰보면 거의 다음날, 다다음날이면 연락와서 채용까지 엄청 빨리 진행됐어요""","에이블리랑 지그재그랑 브랜디 장단점 설명하기
왜 에이블리인지
에이블리에서 기대되는 점",전체적으로 좋았습니다!
1,(주)롬인터네셔널,IT/웹/통신,"전화오고.. 면접 보러오라해서 3:1 면접 진행, 이후 합격 연락 받음 (전화로)""","1) 제품이 안팔리면 어떻게 할건지..
2) 일본에서 선호하는 제품
3) 살면서 뭐가 젤 힘든 경험이였는지",꼬투리 잡는 질문이 많았돈거같습니다
2,(주)카카오스타일,IT/웹/통신,"면접 1차 보고 비공식적으로 2차 면접을 한번 더 진행함,
그리고 공식2차 (비공식3차) 에서 컬쳐핏을 진행함.""","무엇을 하고싶은지?
3년 뒤 어떤 역활을 하고있을지?
이외 CS운영 관련 질문","지금은 조직장이 다 바뀐거로 암
이전엔 정말 수준낮은 질문들이 오갔음"
3,(주)골드플레이트,IT/웹/통신,"1차 합격 유선 연락/1대 다수 면접관/1차 실무자 인터뷰, 2차 경영진 인터뷰""","업무에 대해 얼마나 알고 있는지 확인
업무 관련 경험
출퇴근 거리 괜찮은지",비교적 편안한 분위기
4,롯데쇼핑(주) e커머스사업본부,IT/웹/통신,"다대다 면접이였고 이력서 중심으로 면접 진행 하였습니다. 인상도 좋으시고 분위기도 화기애애하여 좋은 면접 경험이에요.""",이전 회사에서의 이력을 물어보시거나 사용했던 스킬에 대해 물어보셔서 잘 대답하였다고 생각합니다,진짜 실무를 해봤던 사람이여야 유리
5,(주)소셜클럽,IT/웹/통신,"인상이 다들 좋으셨고 무겁지 않은 분위기로 편하게 잘 애기를 나눌수 있었습니다""","어떤일을 어떻게 하셨는지, 스타트업에 어떤 업무를 했고 어떤 성과가 있었는지",면접관님에게 좋은 인상을 받았고 편안하게 해서 긴장없이 잘했습니다
6,(주)스킨알엑스,IT/웹/통신,"이력서 제출 후 유선으로 면접일자 확인""","경력에 대하여 설명
지원 사유 및 회사에 대한 정보
희망 연봉",어려운 질문은 없었고 근무시간 등 복지에 대해 설명 묻기 전에 애기 해줌
7,(주)마리앙,IT/웹/통신,"편안하게 대화하듯이 면접했고, 다음 날 결과가 나왔습니다""","잘 할 수 있는 것, 경력, 전 회사 그만둔 이유",편안하게 질문해주시려고 했고 어려운 질문은 없었다
8,(주)거성디지털,IT/웹/통신,"취업플랫폼에서 연락이 먼저 왔으며, 인사과에서 면접일정을 조율 후, 면접을 진행하게 되었습니다.""","자기소개 후, 이전의 프로젝트 및 작업에 대한 이야기를 나누었으며, 일에 대한 가치관, 업무에 대한 경험등에 대해서 질문 받았습니다.","편안한 분위기에서 면접을 진행하였습니다. 의문점인 부분은 함께 일하게 된다면, 부서의 선임들과 하게 되지만, 회사의 업력에 비해 일하시는 분들의 경력이 짧았습니다."
9,(주)가나,IT/웹/통신,"대기시간이 조금 긴편. 1:2 면접. 실무자 질문이 끝나는대로 자릴 비우심""","퇴사 사유, 이전 회사에서 근무했던 방식, 희망연봉 등
그리고 면접 내내 사무실이 무척이나 조용했음...",묘한 압박감이 남는 면접. 교수님께 혼나고 나온 느낌이 들었다.
10,(주)씨유기획,IT/웹/통신,"전반적으로 나의 살아온 길에 대해 물어보고 마인드 등을 체크했던 것 같다.""","그냥 전체적으로 나 라는 사람에 대해 알고싶어하는 것 같았는데, 자연스런 분위기로 대화하다보니 임팩트 있는 질문은 기억이 나지 않아요",딱히 없어요
11,(주)공팔리터,IT/웹/통신,"뭔가 굉장히 급했음 바로출근을 요청하고… 내가 괜찮아서 뽑은게아니고 그냥 면접와서 뽑은느낌""",회사가 힘든데 잘 이겨낼수있냐 주인의식이 있냐 같이 버틸수있겠냐,저는 돈받으려고 일하지 굳이 같이 이겨내려고하는건 아닌데…
